Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
4693,3320 105 2023 02 019 1,3320,2/19/2023,CUACA EKSTREM,,JEPARA,JAWA TENGAH,Dokumentasi,,,,,1,,0
4694,3210 102 2023 02 019 1,3210,2/19/2023,TANAH LONGSOR,Kec. Sukahaji Ds. Nanggewer,MAJALENGKA,JAWA BARAT,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi dan kondisi tanah yang labil,,,,1,,0
4695,1610 105 2023 02 019 1,1610,2/19/2023,CUACA EKSTREM,Kec. Tanjung Raja Ds. Tanjung Raja Selatan,OGAN ILIR,SUMATERA SELATAN,Dokumentasi,●Dipicu hujan dengan intensitas tinggi disertai angin kencang,,,,1,,0
4696,3304 102 2023 02 019 1,3304,2/19/2023,TANAH LONGSOR,,BANJARNEGARA,JAWA TENGAH,Dokumentasi,,,,,1,,0
4697,2172 107 2023 02 019 1,2172,2/19/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Bukit Bestari Ds. Dompak,KOTA TANJUNG PINANG,KEPULAUAN RIAU,Dokumentasi,●masih dalam proses penyelidikan,,,,0,,0
4698,1302 107 2023 02 019 1,1301,2/19/2023,KEBAKARAN HUTAN DAN LAHAN,,PESISIR SELATAN,SUMATERA BARAT,Dokumentasi,,,,,0,,0
4699,3320 102 2023 02 019 1,3320,2/19/2023,TANAH LONGSOR,Kec. Donorejo Ds. Blingoh,JEPARA,JAWA TENGAH,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi dan kondisi tanah yang labil,,,,1,,0
4700,1202 101 2023 02 019 1,1202,2/19/2023,BANJIR,Kec. Angkola Muara Tais Ds. Sipangko Ds. Holbung Ds. Bintuju,TAPANULI UTARA,SUMATERA UTARA,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,2,,0
4701,3324 102 2023 02 019 1,3324,2/19/2023,TANAH LONGSOR,Kec. Plantungan Ds. Mojoagung,KENDAL,JAWA TENGAH,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi dan kondisi tanah yang labil,,,,1,,0
4702,6107 107 2023 02 019 1,6107,2/19/2023,KEBAKARAN HUTAN DAN LAHAN,SUNGAI RAYA,BENGKAYANG,KALIMANTAN BARAT,Dokumentasi,,,,,0,,0
4703,3322 102 2023 02 019 1,3322,2/19/2023,TANAH LONGSOR,,SEMARANG,JAWA TENGAH,Dokumentasi,,,,,1,,0
4704,3314 102 2023 02 019 1,3314,2/19/2023,TANAH LONGSOR,Kec. Plupuh Ds. Karanganyar  Kec. Masaran Ds. Pilang Kec. Tangen Ds. Katelan Kec. Sragen Ds. Tangkil,SRAGEN,JAWA TENGAH,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi dan kondisi tanah yang labil,,,,0,,0
4705,1308 107 2023 02 019 1,1307,2/19/2023,KEBAKARAN HUTAN DAN LAHAN,,LIMA PULUH KOTA,SUMATERA BARAT,Dokumentasi,,,,,0,,0
4706,3201 105 2023 02 019 1,3201,2/19/2023,CUACA EKSTREM,Kec. Tamansari Ds. Sirnagalih,BOGOR,JAWA BARAT,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,,,,9,,1
4707,3201 102 2023 02 019 1,3201,2/19/2023,TANAH LONGSOR,Kec. Cigombong Ds. Ciburuy  Ds. Ciadeg Kec. Sukamakmur Kec. Ciomas,BOGOR,JAWA BARAT,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi dan kondisi tanah yang labil,,,,6,,0
4708,7302 105 2023 02 019 1,7302,2/19/2023,CUACA EKSTREM,KEC Ujung Bulu,BULUKUMBA,SULAWESI SELATAN,Dokumentasi,Angin kencang di serta hujan intensitas ringan,,,,4,,0
4709,1311 101 2023 02 019 1,1310,2/19/2023,BANJIR,Kec. Sopan Jaya Ds. Sopan Jaya Ds. Kayu Aro Ds. Bumi Raya,DHARMASRAYA,SUMATERA BARAT,Dokumentasi,●Dipicu hujan dengan intensitas tinggi,,,,0,40,0
4710,1277 101 2023 02 019 1,1277,2/19/2023,BANJIR,Kec. Sitamiang Baru Kel. Goti Kel. Batunadua Kel. Sitamiang Baru,KOTA PADANG SIDEMPUAN,SUMATERA UTARA,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,100,0
4711,3318 101 2023 02 019 1,3318,2/19/2023,BANJIR,Kec. Pati Ds. Mustokoharjo,PATI,JAWA TENGAH,Dokumentasi,●Dipicu hujan dengan intensitas tinggi,,,,0,15,0
4712,7505 101 2023 02 019 1,7505,2/19/2023,BANJIR,Kec. Biau Ds. Potanga,GORONTALO UTARA,GORONTALO,Dokumentasi,●Dipicu hujan dengan intensitas tinggi,,,,42,,0
4713,6303 101 2023 02 019 1,6303,2/19/2023,BANJIR,Kec. Sungai Tabuk Desa Pambantanan  Desa Lok Buntar Desa Tajau Landung Desa Keliling Benteng Tengah Desa Keliling Benteng Ilir Kec. Martapura Timur Desa Dalam Pagar Ulu  Desa Pekauman  Kec. Cintapuri Darussalam Desa Benua Anyar  Desa Garis Hanyar Desa Karya Makmur  Desa Simpang Lima  Desa Alalak Padang  Desa Sindang Jaya  Desa Sumber Sari Desa Cintapuri  Desa Makmur Karya  Desa Jingah Habang Ilir Kec. Karang Intan Desa Jingah Habang  Kec. Mataraman  Desa Bawahan Seberang  Desa Surian Desa Bawahan Selan  Desa Tunggul Irang Ili Desa Mataraman  Kec. Astambul Desa Munggu Raya Desa Pasar Jati Desa Pingaran Ulu Desa Sungai Rangas  Desa Kelampaian Ilir Kec. Martapura Desa Bincau Muara  Desa Sei Sipai Komplek Perumahan Lutfia Tunggal Kec. Martapura Barat Desa Telok Selong Ulu Desa Penggalaman Kec. Sungai Pinang Ds. Rantau Nangka Kec. Pengaron Ds. Lok Tunggul Ds. Pengaron Ds. Lobang Baru Ds. Lumpangi Ds. Ds. Atim Ds. Benteng Kec. Simpang Empat Ds. Ds. Sungai Langsat Ds. Lawiran Ds. Sungai Raya Ds. Tanah Intan Ds. Lok Cantung Kec. Martapura Kota Ds. Bincau Muara Ds. Murung Masjid Ds. Pasayangan Utara Ds. Tanjung Rema Ds. Tanjung Rema Barat Ds. Tungkaran Ds. Bincau Ds. Tunggul Irang Ulu Ds. Tunggul Irang ilir Ds. Jawa Laut Kel. Jawa Ds. Tambak Baru Ds. Murung Kenanga Ds.  Tambak Baru Hilir Ds. Sungai Sipai Lutfia Tunggal Kel. Pasayangan Kel. Pasayangan Barat Ds. Labuan Tabu Ds. Tunggal Irang Kel. Keraton Ds. Pekauman Kec. Mataraman Ds. Mangkalawat Ds. Bawahan Seberang Ds. Surian Ds. Bawahan Selan,BANJAR,KALIMANTAN SELATAN,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,17360,0
4714,6208 107 2023 02 019 1,6208,2/19/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Sukamara Ds. Kartamulia,SUKAMARA,KALIMANTAN TENGAH,Dokumentasi,●masih dalam proses penyelidikan,,,,0,,0
4715,3524 101 2023 02 018 1,3524,2/18/2023,BANJIR,Kec. Babat Kel. Banaran Kel. Babat Ds. Bedahan Kec. Laren Kec.Kalitengah Ds. Tiwet Ds. Blajo Ds. Gambuhan Ds. Bojoasri Ds. Jelak Catur Ds. Somo Sari Ds. Pucang Telu Ds. Pucangro Kec. Turi Ds. Putat Kumpul Ds. Pomahanjangan Ds. Kepudibener Ds. Kemlagi Gede Ds. Kemlagi Lor Ds. Bambang Kec. Karangbinangun Ds. Waruk Ds. Ketapangtelu Ds. Somowinagun Ds. Sukorejo Ds. Karanganom Ds. Blawi Kec. Deket Ds. Sidomulyo Ds. Laladan Ds. Weduni Ds. Tukerto Kec. Glagah Ds. Soko Ds. Pasi Ds. Morocalan Ds. Gempol Pendowo Ds. Rayung Gumuk Ds. Margo Anyar,LAMONGAN,JAWA TIMUR,Dokumentasi,"●Hujan yang terjadi Sejak sepekan terakhir di beberapa wilayah Kecamatan di Kabupaten Lamongan menyebabkan Debit Air Sungai Bengawan Njero mengalami Kenaikan dan mulai menggenangi akses jalan Poros desa pemukiman warga di Wilayah Kecamatan Kalitengah, Kec. Turi, Kec. Karangbinangun, Kec. Glagah, Kec. Deket",,,,0,241,0
4716,3320 102 2023 02 018 1,3320,2/18/2023,TANAH LONGSOR,Kec. Nalumsari Ds. Bategede,JEPARA,JAWA TENGAH,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi dan kondisi tanah yang labil,,,,1,,0
4717,6208 107 2023 02 018 1,6208,2/18/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Sukamara Kel. Padang,SUKAMARA,KALIMANTAN TENGAH,Dokumentasi,●Masih dalam penyelidikan,,,,0,,0
4718,3320 105 2023 02 018 1,3320,2/18/2023,CUACA EKSTREM,Kec. Pakis Aji Ds. Mambak,JEPARA,JAWA TENGAH,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi disertai angin kencang,,,,1,,0
4719,5206 101 2023 02 018 1,5206,2/18/2023,BANJIR,Kec. Tambora Ds. Labuan Kananga,BIMA,NUSA TENGGARA BARAT,Dokumentasi,●Intensitas hujan sedang - lebat yang disertai petir dan angin kencang,,,,5,,0
4720,1302 107 2023 02 018 1,1301,2/18/2023,KEBAKARAN HUTAN DAN LAHAN,,PESISIR SELATAN,SUMATERA BARAT,Dokumentasi,,,,,0,,0
4721,3205 105 2023 02 018 1,3205,2/18/2023,CUACA EKSTREM,"Kec. Banyuresmi, Garut Kota",GARUT,JAWA BARAT,Dokumentasi,,,,,14,,1
4722,3321 101 2023 02 018 1,3321,2/18/2023,BANJIR,Kec. Mranggen Ds. Kebon Batur Kec. Saying Ds. Dombo,DEMAK,JAWA TENGAH,Dokumentasi,●Telah terjadi hujan lebat di daerah Hulu sehingga mengakibatkan Debit air meluap dan melimpah ke Pemukiman,,,,0,400,0
4723,3525 101 2023 02 018 1,3525,2/18/2023,BANJIR,Kec. Bungah 1) Ds. Bungah 2) Ds. Mojopuro Wetan,GRESIK,JAWA TIMUR,Dokumentasi,"Telah terjadi banjir pada hari Sabtu, 18 Februari 2023, pkl. 16.00 WIB dikarenakan hujan lebat bersamaan dengan debit Sungai Bengawan Solo yang naik sehingga air hujan tidak dapat mengalir ke sungai. Jalan lingkungan tergenang dengan ketinggian air 5 - 10 cm #Update 19/02/2023 pkl 12.00 WIB Perkembangan : - Telah terjadi banjir pada hari Sabtu, 18 Februari 2023, pkl. 16.00 WIB dikarenakan hujan lebat bersamaan dengan debit Sungai Bengawan Solo yang naik sehingga air hujan tidak dapat mengalir ke sungai. - Kondisi genangan air mengalami Kenaikan. - Kondisi cuaca saat ini Cerah Berawan. Dampak : Kec. Bungah 1) Ds. Bungah - Jalan Lingkungan tergenang 10-20 cm, Sepanjang 200 m - Rumah terdampak : 4 Unit, tergenang 10-20 cm - Persawahan tergenang 45 Ha 2) Ds. Mojopuro Wetan - Halaman rumah warga tergenang 10 cm #Update 19/02/2023 pkl 18.00 WIB Perkembangan : - Telah terjadi banjir pada hari Sabtu, 18 Februari 2023, pkl. 16.00 WIB dikarenakan hujan lebat bersamaan dengan debit Sungai Bengawan Solo yang naik sehingga air hujan tidak dapat mengalir ke sungai. - Kondisi genangan air saat ini Stabil. - Kondisi cuaca saat ini Cerah Berawan. Dampak : Kec. Bungah 1) Ds. Bungah - Jalan Lingkungan tergenang 10-30 cm, Sepanjang 450 m (+) - Rumah terdampak : 8 Unit, tergenang 10-20 cm - Persawahan tergenang 45 Ha (~) 2) Ds. Mojopuro Wetan - Halaman rumah warga tergenang 10 cm (~) #Update 19/02/2023 pkl 23.00 WIB Perkembangan : - Telah terjadi banjir pada hari Sabtu, 18 Februari 2023, pkl. 16.00 WIB dikarenakan hujan lebat bersamaan dengan debit Sungai Bengawan Solo yang naik sehingga air hujan tidak dapat mengalir ke sungai. - Kondisi genangan air saat ini Stabil. - Kondisi cuaca saat ini Berawan. Dampak : Kec. Bungah 1) Ds. Bungah - Jalan Lingkungan tergenang 10-30 cm, Sepanjang 450 m (~) - JPD tergenang 10-30 cm sepanjang 300 m (+) - Rumah terdampak : 8 Unit, tergenang 10-20 cm (~) - Persawahan tergenang 45 Ha (~) 2) Ds. Mojopuro Wetan - Halaman rumah warga tergenang 10 cm (~) #Update 20/02/2023 pkl 18.00 WIB Perkembangan : - Telah terjadi banjir pada hari Sabtu, 18 Februari 2023, pkl. 16.00 WIB dikarenakan hujan lebat bersamaan dengan debit Sungai Bengawan Solo yang naik sehingga air hujan tidak dapat mengalir ke sungai. - Kondisi genangan air saat ini Stabil. - Kondisi cuaca saat ini Cerah Berawan. Dampak : Kec. Bungah 1) Ds. Bungah - JPD tergenang 10-25 cm sepanjang 350 m (-) - Rumah terdampak : 8 Unit, tergenang 15 cm (-) - Persawahan tergenang 45 Ha (~) 2) Ds. Mojopuro Wetan Surut Total 3) Dsn. Dukuh - JPD tergenang 10-25 cm sepanjang 100 m 4) Ds. Kaliwot - JPD tergenang 10-25 cm sepanjang 70 m 5) Dsn. Nongko - JPD tergenang 10-15 cm sepanjang 70 m",,,,0,,0
4724,7211 104 2023 02 018 1,7211,2/18/2023,GELOMBANG PASANG DAN ABRASI,Kec. Banggai Utara Ds. Bone Baru,BANGGAI LAUT,SULAWESI TENGAH,Dokumentasi,"●cuaca buruk,disertai gelombang tinggi",,,,2,,0
4725,3515 105 2023 02 018 1,3515,2/18/2023,CUACA EKSTREM,"RT.04 & RT.05 / RW 02, Ds. Medalem, Ke. Tulangan.",SIDOARJO,JAWA TIMUR,Dokumentasi,"Hujan intensitas ringan hingga lebat disertai angin kencang pada hari Sabtu, 18 Februari 2023 pukul 16.00 WIB di wilayah Kab. Sidoarjo menyebabkan beberapa rumah rusak di Ds. Medalem, Kec. Tulangan.",,,,11,,0
4726,3374 101 2023 02 018 1,3374,2/18/2023,BANJIR,Kec. Tembalang Kel. Meteseh Kel. Rowosari Kel. Sedang Guwo Kel. Pedurungan,KOTA SEMARANG,JAWA TENGAH,Dokumentasi,●Dipicu hujan dengan intensitas tinggi yang mengakibatkan tanggul jebol,,,,0,1549,0
4727,3522 101 2023 02 018 1,3522,2/18/2023,BANJIR,Kec. Baureno  Ds. Kalisari Ds. Lebaksari Ds. Pucangarum Ds. Karangdayu Ds. Pomahan Ds. Kauman Ds. Kadungrejo Kec. Kanor Ds. Piyak,BOJONEGORO,JAWA TIMUR,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,227,0
4728,1308 107 2023 02 017 1,1307,2/17/2023,KEBAKARAN HUTAN DAN LAHAN,,LIMA PULUH KOTA,SUMATERA BARAT,Dokumentasi,,,,,0,,0
4729,6208 107 2023 02 017 1,6208,2/17/2023,KEBAKARAN HUTAN DAN LAHAN,Kec. Sukamara Kel. Padang,SUKAMARA,KALIMANTAN TENGAH,Dokumentasi,●Masih dalam penyelidikan,,,,0,,0
4730,3404 101 2023 02 017 1,3404,2/17/2023,BANJIR,KEC Prambanan DESA Bokoharjo DUSUN Ngablak,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,0,,1
4731,5204 101 2023 02 017 1,5204,2/17/2023,BANJIR,Kec. Moyo Hulu Ds. Mokong,SUMBAWA,NUSA TENGGARA BARAT,Dokumentasi,●Dipicu hujan dengan intensitas tinggi,,,,0,,0
4732,6304 101 2023 02 017 1,6304,2/17/2023,BANJIR,Kec. Jejangkit  Ds. Bahandang  Ds. Sampurna  Ds. Cahaya Baru  Ds. Jejangkit Timur  Ds. Jejangkit Muara  Ds. Jejangkit Pasar  Ds. Jejangkit Barat  Kec. Mandastana  Ds. Antasan Segera Ds. Pantai Hambawang Ds. Tanipah  Ds. Tabing Rimbah  Ds. Tatah Alayung  Ds. Puntik Luar  Ds. Lokrawa  Ds. Sungai Ramania  Ds. Bangkit Baru  Ds. Puntik Dalam  Kec. Rantau Badauh  Ds. Sinar Baru,BARITO KUALA,KALIMANTAN SELATAN,Dokumentasi,●Dipicu hujan dengan intensitas tinggi dan air kiriman dari Kabupaten Banjar,,,,0,3374,0
4733,3525 101 2023 02 017 1,3525,2/17/2023,BANJIR,Kec. Bungah Ds. Bungah Ds. Mojopuro Wetan Kec. Benjeng Ds. Lundo Ds. Deliksumber Kec. Menganti Ds. Boboh Ds. Gadingwatu  Ds. Beton Ds. Pranti Ds. Bringkang Kec. Cerme Ds. Morowudi Ds. Dungus Ds. Iker-Iker Ds. Pandu Ds. Guranganyar Kec. Driyorejo Ds. Sumput Ds. Driyorejo Ds. Tanjungan Ds. Karangandong Ds. Mojosarirejo,GRESIK,JAWA TIMUR,Dokumentasi,●Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,0,2246,0
4734,3314 101 2023 02 017 1,3314,2/17/2023,BANJIR,Kec. Masaran Ds. Pringanom Ds. Pilang Ds. Sidodadi Ds. Kliwonan Kec. Plupuh Ds. Karanganyar Ds. Gedongan Ds. Plupuh Ds. Gentan Banaran Kec. Sidoharjo Ds. Tenggak Ds. Patihan Ds. Sribit Ds. Pandak Ds. Bentak,SRAGEN,JAWA TENGAH,Dokumentasi,●Intensitas hujan yang cukup tinggi,,,,0,188,0
4735,3271 102 2023 02 017 1,3271,2/17/2023,TANAH LONGSOR,Kec. Bogor Selatan Kel. Harajasari,KOTA BOGOR,JAWA BARAT,Dokumentasi,●Dikarenakan tanah tebingan dan tergerus air hujan,,,,2,,0
4736,3204 105 2023 02 017 1,3204,2/17/2023,CUACA EKSTREM,Kec. Pacet,BANDUNG,JAWA BARAT,Dokumentasi,,,,,10,,0
4737,3315 101 2023 02 017 1,3315,2/17/2023,BANJIR,,GROBOGAN,JAWA TENGAH,Dokumentasi,,,,,0,100,0
4738,3315 102 2023 02 017 1,3315,2/17/2023,TANAH LONGSOR,,GROBOGAN,JAWA TENGAH,Dokumentasi,,,,,1,,0
4739,3204 102 2023 02 017 1,3204,2/17/2023,TANAH LONGSOR,Kec. Pangalengan Ds. Margamulya,BANDUNG,JAWA BARAT,Dokumentasi,"●Curah hujan yang tinggi menyebabkan sebagian tanah mengalami pergerakan/Longsor dengan diameter longsoran P ; 6 Meter, tinggi 3,5 Meter",,,,1,,0
4740,3312 102 2023 02 017 1,3312,2/17/2023,TANAH LONGSOR,,WONOGIRI,JAWA TENGAH,Dokumentasi,,,,6,3,,0
4741,3318 101 2023 02 017 1,3318,2/17/2023,BANJIR,Kec. Gabus Ds. Banjarsari Ds. Mintobasuki Ds. Tanjang Ds. Babalan Ds. Kosekan Kec. Jakenan Ds. Karangrowo Ds. Ngastorejo Ds. Kedungmulyo Ds. Kalimulyo Ds. Tondomulyo Ds. Bungasrejo Ds. Tlogorejo Ds. Sonorejo Ds. Sembaturagung Ds. Glonggong Kec. Pati Ds. Mustokoharjo Ds. Wirokandang Ds. Purworejo Ds. Dengkek Ds. Sinoman Ds. Sugiharjo Ds. Gajahmati Kec. Kayen Ds. Srikaton Ds. Pesagi Ds. Pasuruhan Kec. Dukuhseti Ds. Banyutowo Ds. Dukuhseti Ds. Ngagel Ds. Kembang Ds. Tegalombo Ds. Kedawung Wedusan Kec. Sukolilo Ds. Gadudero Ds. Kasiyan Ds. Wotan Kec. Juwana  Ds. Doropayung Ds. Tluwah Ds. Bumirejo Ds. Jepuro Ds. Gadingrejo Ds. Mintomulyo Ds. Kauman Ds. Kudukeras Ds. Kedungpancing Ds. Bendar Ds. Growong Kidul Ds. Sejomulyo Ds. Margomulyo Ds. Pajeksan Ds. Bajomulyo Ds. Growong Lor Ds. Karangrejo Kec. Margoyoso Ds. Langgenharjo Kec. Batangan Ds. Ketitang Wetan Ds. Bulumulyo,PATI,JAWA TENGAH,Dokumentasi,●Dipicu hujan yang berangsur lama (± satu minggu) dengan intensitas sedang hingga tinggi disertai cuaca yang sangat ekstrim di wilayah Kab. Pati beberapa hari ini sehingga mengakibatkan (DAS) Daerah Aliran Sungai tidak mampu menampung debit air hujan dan meluap menggenangi beberapa Kecamatan yang berada di Kab. Pati,,,,0,7156,0
4742,3201 105 2023 02 017 1,3201,2/17/2023,CUACA EKSTREM,"Kec. Gunung Putri, Kec. Sukajaya",BOGOR,JAWA BARAT,Dokumentasi,,,,,2,,0
4743,1904 105 2023 02 017 1,1904,2/17/2023,CUACA EKSTREM,DUSUN SIMPAN RT 05 DESA LUBUK BESAR KEC. LUBUK BESAR,BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG,Dokumentasi,ANGIN BERTIUP SANGAT KENCANG SEHINGGA MENGAKIBATKAN ATAP RUMAH TERBAWA ANGIN DAN MEMPORAK PORANDAKAN RUMAH,,,,1,,0
4744,3320 105 2023 02 017 1,3320,2/17/2023,CUACA EKSTREM,,JEPARA,JAWA TENGAH,Dokumentasi,,,,,5,,0
4745,5301 102 2023 02 017 1,5301,2/17/2023,TANAH LONGSOR,Kec. Takari Ds. Noelmina Kel. Takari,KUPANG,NUSA TENGGARA TIMUR,Dokumentasi,"●Akibat curah hujan yang tinggi, dalam beberapa pekan terakhir ini, mengakibatkan longsor tebing di dekat tanjung",,,,2,,0
4746,6204 101 2023 02 017 1,6204,2/17/2023,BANJIR,"KECAMATAN DUSUN UTARA, 2. KECAMATAN DUSUN HILIR, 3.KEAMATAN KARAU KUALA",BARITO SELATAN,KALIMANTAN TENGAH,Dokumentasi,,,,,0,93,0
4747,3404 105 2023 02 017 1,3404,2/17/2023,CUACA EKSTREM,KEC Kalasan DESA Tamanmartani DESA Sendangsari DUSUN Pakem DUSUN Parakan wetan DUSUN Pundung DUSUN Plasan DUSUN Pakem DUSUN Jetis,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,Dokumentasi,,,,,5,,0
4748,3202 102 2023 02 017 1,3202,2/17/2023,TANAH LONGSOR,"Kec. Nagrak, Kec. Pelabuhanratu",SUKABUMI,JAWA BARAT,Dokumentasi,,,,,5,,0
4749,3311 101 2023 02 016 1,3311,2/16/2023,BANJIR,Kec. Grogol Ds. Kadokan Ds. Madegendo Ds. Kwarasan Ds. Langenharjo Ds. Cemanig Ds. Banaran Ds.Telukan Ds. Grogol,SUKOHARJO,JAWA TENGAH,Dokumentasi,●Luapan Sungai Wingko dan Bengawan Solo,,,,0,1532,0
4750,3515 105 2023 02 016 1,3515,2/16/2023,CUACA EKSTREM,Kecamatan Krian a). Ds. Ponokawan RT 08 RW 03 RT 07 RW 03 b). Ds. Terungkulon RT 05 RW 03 RT 06 RW 03,SIDOARJO,JAWA TIMUR,Dokumentasi,"Pada hari Kamis, 16 Februari 2023 pukul 14.30 WIB, Adanya hujan lebat yang menyebabkan rumah dan tempat usaha rusak di Desa Ponokawan dan Terungkulon, Kecamatan Krian Kondisi Terkini : - Rumah warga terdampak masih bisa ditempati - Warga masih bisa melakukan aktifitas secara normal",,,,20,,0
4751,3313 101 2023 02 016 1,3313,2/16/2023,BANJIR,,KARANGANYAR,JAWA TENGAH,Dokumentasi,,,,,0,6,0
4752,1118 101 2023 02 016 1,1118,2/16/2023,BANJIR,Kec. Meureudu Gp. Hagu Gp. Kudrang Kec. Bandar Dua Gp. Babah Krueng Gp. Mukoue Rayu Gp. Keudee Ule GleC,PIDIE JAYA,ACEH,Dokumentasi,"●Akibat tingginya intensitas hujan yang melanda Kabupaten Pidie Jaya sehingga meluapnya Krueng Bracan, Krueng Mereudu dan Krueng Kiran ke pemukiman warga",,,,0,882,1
4753,3312 102 2023 02 016 1,3312,2/16/2023,TANAH LONGSOR,,WONOGIRI,JAWA TENGAH,Dokumentasi,,,,,3,,0
4754,3372 101 2023 02 016 1,3372,2/16/2023,BANJIR,Kec. Jebres Kel. Gandekan Kel. Jagalan Kel. Pucang Sawit Kel. Jebres Kel. Sudiroprajan Kel. Sewu Kec. Pasar Kliwon Kel. Pasar Kliwon Kel. Mojo Kel. Joyosuran Kel. Kedung Lumbu Kel. Semanggi Kec. Serengan Kel. Joyotakan Kec. Laweyan Kel. Bumi Kel. Pajang,KOTA SURAKARTA,JAWA TENGAH,Dokumentasi,●Dipicu hujan dengan intensitas tinggi sehingga meluapnya sungai bengawan solo (kali pepe),,,,0,6875,0
4755,3312 101 2023 02 016 1,3312,2/16/2023,BANJIR,,WONOGIRI,JAWA TENGAH,Dokumentasi,,,,,0,,0
4756,3207 105 2023 02 016 1,3207,2/16/2023,CUACA EKSTREM,"Kec. Cisaga, Kec. Sukadana",CIAMIS,JAWA BARAT,Dokumentasi,,,,,5,,1
